City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,matagami,49.7502,-77.6328,274.21,100,100,0.0,CA,1667640756
328,moroto,2.5345,34.6666,302.46,31,32,8.32,UG,1667640765
329,vanimo,-2.6741,141.3028,299.85,82,96,2.12,PG,1667640766
330,perisoru,44.45,27.55,293.61,54,99,3.59,RO,1667640768
331,kisangani,0.5167,25.2,294.66,97,100,0.55,CD,1667640769
332,chippewa falls,44.9369,-91.3929,278.25,94,100,2.06,US,1667640771
333,dehloran,32.6941,47.2679,298.61,18,1,3.23,IR,1667640772
334,vila franca do campo,37.7167,-25.4333,292.7,93,96,3.09,PT,1667640773
335,snyder,32.7179,-100.9176,279.34,65,0,2.06,US,1667640775
336,san policarpo,12.1791,125.5072,300.49,81,100,2.76,PH,1667640776
337,umm kaddadah,13.6017,26.6876,304.35,16,3,4.86,SD,1667640778
338,merauke,-8.4667,140.3333,301.46,80,90,7.0,ID,1667640779
339,anadyr,64.75,177.4833,270.43,79,75,12.0,RU,1667640780
340,holly hill,29.2436,-81.0376,297.6,96,75,0.45,US,1667640783
341,am timan,11.0297,20.2827,306.66,15,47,1.77,TD,1667640784
342,gull lake,50.1001,-108.4847,281.33,61,100,10.17,CA,1667640786
343,urumqi,43.801,87.6005,282.68,54,98,2.0,CN,1667640789
344,yakovlevka,44.425,133.4772,271.67,64,17,1.54,RU,1667640790
345,tolaga bay,-38.3667,178.3,286.54,84,40,3.52,NZ,1667640791
346,boguchany,58.3814,97.4531,272.43,77,100,2.33,RU,1667640793
347,cerrito,6.8432,-72.694,284.76,97,100,0.82,CO,1667640794
348,witu,-2.3889,40.4382,303.24,63,87,4.36,KE,1667640796
349,mayor pablo lagerenza,-19.9309,-60.7718,289.27,62,0,1.87,PY,1667640797
350,sassandra,4.95,-6.0833,301.09,75,43,2.31,CI,1667640800
351,muzhi,65.3667,64.6667,263.66,84,32,1.59,RU,1667640801
352,itoman,26.1247,127.6694,296.36,67,75,8.75,JP,1667640803
353,brae,60.3964,-1.353,282.71,75,81,3.32,GB,1667640804
354,gilgit,35.9221,74.3087,290.72,44,100,2.75,PK,1667640806
355,phan thiet,10.9333,108.1,299.7,78,31,5.97,VN,1667640634
356,carballo,43.213,-8.691,285.66,94,29,2.09,ES,1667640808
357,boa vista,2.8197,-60.6733,295.14,100,0,1.03,BR,1667640810
358,lodja,-3.4833,23.4333,299.7,84,82,0.94,CD,1667640811
359,biloela,-24.4167,150.5,293.63,57,99,5.71,AU,1667640813
360,nieuw amsterdam,5.8833,-55.0833,296.49,98,20,0.0,SR,1667640814
361,southern pines,35.174,-79.3923,292.01,98,100,0.0,US,1667640816
362,tessalit,20.1986,1.0114,302.72,12,0,4.36,ML,1667640817
363,guanica,17.9716,-66.908,297.54,86,100,6.33,PR,1667640819
364,barreirinhas,-2.7469,-42.8264,297.81,82,100,1.93,BR,1667640820
365,kyle,29.9984,-97.8715,290.42,31,99,1.6,US,1667640821
366,onega,63.9061,38.1404,275.42,87,100,4.28,RU,1667640823
367,victoria,22.2855,114.1577,295.55,79,76,4.02,HK,1667640824
368,bereda,43.2686,-7.5406,280.05,100,8,1.47,ES,1667640826
369,tabou,4.423,-7.3528,300.75,75,46,1.92,CI,1667640827
370,clyde river,70.4692,-68.5914,255.28,60,0,3.09,CA,1667640829
371,bam,29.106,58.357,297.86,28,79,3.56,IR,1667640830
372,siderno,38.2779,16.302,289.45,71,100,3.47,IT,1667640831
373,codrington,-38.2667,141.9667,287.87,83,100,2.48,AU,1667640833
374,spring hill,28.4769,-82.5255,294.27,96,100,2.06,US,1667640747
375,kabanjahe,3.1001,98.4908,294.08,84,84,1.64,ID,1667640725
376,yuzhno-kurilsk,44.0306,145.8556,278.73,69,46,4.32,RU,1667640837
377,vartej,21.7333,72.0667,307.01,38,9,3.09,IN,1667640838
378,mende,44.6667,3.5,276.41,70,41,4.2,FR,1667640839
379,axim,4.8699,-2.2405,301.79,71,74,2.01,GH,1667640841
380,baripada,21.935,86.7214,302.55,45,0,2.11,IN,1667640842
381,herat,34.5,62.0,290.98,35,0,1.8,AF,1667640844
382,saldanha,-33.0117,17.9442,297.18,77,82,4.74,ZA,1667640845
383,arona,28.0996,-16.681,293.77,78,20,4.12,ES,1667640847
384,morgantown,39.6295,-79.9559,291.86,80,0,2.57,US,1667640694
385,ayorou,14.7308,0.9174,305.71,14,68,7.78,NE,1667640849
386,bengkulu,-3.8004,102.2655,299.72,80,99,3.5,ID,1667640621
387,gat,31.61,34.7642,299.48,29,0,4.49,IL,1667640853
388,gilbues,-9.8317,-45.3439,294.95,89,100,0.8,BR,1667640855
389,sept-iles,50.2001,-66.3821,289.15,78,75,6.17,CA,1667640588
390,quatre cocos,-20.2078,57.7625,300.21,69,43,4.94,MU,1667640857
391,veracruz,19.3333,-96.6667,293.33,82,3,2.15,MX,1667640859
392,kloulklubed,7.0419,134.2556,298.43,69,100,2.13,PW,1667640861
393,sadovoye,47.7764,44.5089,279.37,59,100,2.76,RU,1667640864
394,nagua,19.3832,-69.8474,295.38,93,87,4.33,DO,1667640865
395,salamiyah,35.0113,37.0532,295.86,27,0,0.61,SY,1667640868
396,eskil,38.4017,33.4131,291.39,28,5,2.37,TR,1667640869
397,krabi,8.0726,98.9105,301.26,78,20,3.09,TH,1667640871
398,pangnirtung,66.1451,-65.7125,258.68,88,95,3.67,CA,1667640872
399,saint george,37.1041,-113.5841,279.48,54,0,1.54,US,1667640814
400,general pico,-35.6566,-63.7568,287.75,48,100,5.8,AR,1667640876
401,svetlogorsk,52.6333,29.7333,277.26,67,61,5.1,BY,1667640878
402,ariquemes,-9.9133,-63.0408,290.56,70,65,0.92,BR,1667640879
403,kashi,39.4547,75.9797,288.71,23,9,3.0,CN,1667640880
404,shu,43.5983,73.7614,285.49,73,95,2.04,KZ,1667640882
405,te karaka,-38.4654,177.8679,284.63,94,61,0.59,NZ,1667640883
406,bressanone,46.715,11.656,282.12,71,47,2.1,IT,1667640885
407,madimba,-10.4,40.3333,302.49,54,42,4.15,TZ,1667640886
408,puerto colombia,10.9878,-74.9547,297.2,92,95,4.99,CO,1667640888
409,berlevag,70.8578,29.0864,275.15,86,100,2.57,NO,1667640889
410,aklavik,68.2191,-135.0107,257.22,92,100,5.62,CA,1667640890
411,sao jose da coroa grande,-8.8978,-35.1478,297.1,86,100,2.61,BR,1667640893
412,la palma,33.8464,-118.0467,289.36,56,0,0.0,US,1667640741
